State,2014,2015,2016,2017,2018,2019,2020,2021
Auckland,11913,12483,12225,12171,11223,10944,11982,9951
Bay of Plenty,2562,2901,2988,2688,2457,2067,2163,1698
Canterbury,3426,3855,3660,3564,3174,2877,3609,2916
Gisborne,351,399,459,438,390,360,387,267
Hawke's Bay,1032,1287,1284,1287,1065,1035,1107,819
Manawatu-Wanganui,1395,1470,1479,1449,1317,1230,1359,1029
Marlborough,291,279,252,324,267,219,300,234
Nelson,396,387,405,420,339,312,366,279
Northland,1383,1587,1776,1470,1407,1134,1221,894
Otago,1410,1539,1560,1548,1458,1128,1452,1113
Southland,447,513,468,450,411,381,528,315
Taranaki,732,786,741,711,714,624,660,477
Tasman,330,363,417,378,297,291,312,225
Waikato,3156,3330,3594,3123,2808,2535,2760,2133
Wellington,3669,3864,3954,3882,3558,3426,3813,3394
West Coast,159,174,159,153,126,129,156,117
New Zealand,32655,35220,35424,34056,31011,28692,32175,25864
