State,2014,2015,2016,2017,2018,2019,2020,2021
Auckland,19086,17859,17469,17577,17976,16242,7128,9675
Bay of Plenty,2574,2130,2139,2070,2163,1935,1041,1380
Canterbury,3666,3885,3636,3579,3687,3453,1820,2316
Gisborne,441,351,342,357,318,294,150,192
Hawke's Bay,1263,1158,1092,1011,1098,978,537,609
Manawatu-Wanganui,1632,1488,1323,1407,1446,1362,741,858
Marlborough,264,222,195,252,243,195,171,171
Nelson,378,405,336,273,330,306,141,174
Northland,1314,1122,1092,1059,1296,1050,528,702
Otago,1722,1599,1482,1401,1434,1419,771,945
Southland,459,432,402,399,393,360,270,321
Taranaki,789,690,624,606,657,543,321,420
Tasman,279,243,240,234,279,261,126,189
Waikato,3603,3060,2943,3030,3231,2823,1470,2046
Wellington,5580,5415,4992,4794,4848,4596,2034,2553
West Coast,165,150,156,147,168,129,63,87
New Zealand,43215,40209,38463,38196,39567,35946,17315,22638
