Year ended,Migrant arrivals,Migrant departures,Net migration
Dec-01,"114,597","84,332","30,265"
Jan-02,"118,012","81,053","36,959"
Feb-02,"119,546","77,522","42,024"
Mar-02,"122,621","75,833","46,788"
Apr-02,"124,293","74,785","49,508"
May-02,"125,898","72,871","53,027"
Jun-02,"127,609","72,529","55,080"
Jul-02,"129,056","72,344","56,712"
Aug-02,"130,931","72,260","58,671"
Sep-02,"131,989","72,228","59,761"
Oct-02,"132,515","72,424","60,091"
Nov-02,"133,292","72,624","60,668"
Dec-02,"134,046","73,255","60,791"
Jan-03,"134,274","73,530","60,744"
Feb-03,"134,401","73,453","60,948"
Mar-03,"133,470","74,054","59,416"
Apr-03,"132,704","73,762","58,942"
May-03,"132,010","73,792","58,218"
Jun-03,"130,685","73,738","56,947"
Jul-03,"129,472","74,538","54,934"
Aug-03,"127,652","75,315","52,337"
Sep-03,"125,648","75,691","49,957"
Oct-03,"123,953","76,099","47,854"
Nov-03,"121,744","77,528","44,216"
Dec-03,"120,591","79,175","41,416"
Jan-04,"118,185","79,702","38,483"
Feb-04,"115,952","80,821","35,131"
Mar-04,"113,329","81,108","32,221"
Apr-04,"111,579","82,234","29,345"
May-04,"110,514","83,423","27,091"
Jun-04,"109,331","84,775","24,556"
Jul-04,"107,750","85,821","21,929"
Aug-04,"106,449","86,086","20,363"
Sep-04,"105,591","87,009","18,582"
Oct-04,"104,619","87,539","17,080"
Nov-04,"103,777","88,216","15,561"
Dec-04,"103,496","89,356","14,140"
Jan-05,"102,708","90,105","12,603"
Feb-05,"102,288","90,718","11,570"
Mar-05,"102,404","91,422","10,982"
Apr-05,"103,050","92,285","10,765"
May-05,"103,431","92,502","10,929"
Jun-05,"103,639","92,540","11,099"
Jul-05,"103,350","93,248","10,102"
Aug-05,"103,692","93,518","10,174"
Sep-05,"104,000","93,484","10,516"
Oct-05,"104,222","93,848","10,374"
Nov-05,"103,981","93,062","10,919"
Dec-05,"103,982","92,716","11,266"
Jan-06,"103,913","92,533","11,380"
Feb-06,"104,567","91,972","12,595"
Mar-06,"105,175","91,396","13,779"
Apr-06,"105,203","91,427","13,776"
May-06,"105,008","91,544","13,464"
Jun-06,"105,398","91,927","13,471"
Jul-06,"106,358","91,323","15,035"
Aug-06,"107,060","91,928","15,132"
Sep-06,"107,932","92,624","15,308"
Oct-06,"108,681","93,200","15,481"
Nov-06,"110,171","93,439","16,732"
Dec-06,"110,687","93,974","16,713"
Jan-07,"111,122","94,481","16,641"
Feb-07,"111,622","95,594","16,028"
Mar-07,"112,476","96,595","15,881"
Apr-07,"112,711","97,148","15,563"
May-07,"113,104","98,243","14,861"
Jun-07,"113,532","99,013","14,519"
Jul-07,"113,276","99,593","13,683"
Aug-07,"114,015","100,340","13,675"
Sep-07,"114,064","100,785","13,279"
Oct-07,"114,007","100,971","13,036"
Nov-07,"113,873","101,759","12,114"
Dec-07,"113,450","102,413","11,037"
Jan-08,"113,192","103,084","10,108"
Feb-08,"114,608","103,928","10,680"
Mar-08,"114,817","104,250","10,567"
Apr-08,"115,512","104,623","10,889"
May-08,"116,852","105,032","11,820"
Jun-08,"117,659","105,619","12,040"
Jul-08,"119,011","106,228","12,783"
Aug-08,"119,382","106,837","12,545"
Sep-08,"119,286","106,883","12,403"
Oct-08,"119,862","107,566","12,296"
Nov-08,"119,757","108,086","11,671"
Dec-08,"119,994","107,723","12,271"
Jan-09,"120,453","107,530","12,923"
Feb-09,"120,003","106,275","13,728"
Mar-09,"119,362","105,319","14,043"
Apr-09,"118,388","103,568","14,820"
May-09,"117,120","101,498","15,622"
Jun-09,"115,723","99,455","16,268"
Jul-09,"114,771","97,816","16,955"
Aug-09,"113,243","95,886","17,357"
Sep-09,"112,355","94,449","17,906"
Oct-09,"111,024","92,841","18,183"
Nov-09,"109,707","91,451","18,256"
Dec-09,"108,265","89,996","18,269"
Jan-10,"106,819","88,861","17,958"
Feb-10,"105,107","89,060","16,047"
Mar-10,"104,250","89,618","14,632"
Apr-10,"103,467","90,347","13,120"
May-10,"102,496","91,583","10,913"
Jun-10,"101,756","92,787","8,969"
Jul-10,"101,257","93,960","7,297"
Aug-10,"101,310","95,225","6,085"
Sep-10,"101,131","96,451","4,680"
Oct-10,"101,238","97,984","3,254"
Nov-10,"100,912","99,092","1,820"
Dec-10,"100,499","100,776",-277
Jan-11,"100,149","102,614","-2,465"
Feb-11,"100,595","103,639","-3,044"
Mar-11,"100,702","106,185","-5,483"
Apr-11,"100,902","108,087","-7,185"
May-11,"101,051","109,448","-8,397"
Jun-11,"100,885","110,289","-9,404"
Jul-11,"101,150","112,156","-11,006"
Aug-11,"101,159","113,152","-11,993"
Sep-11,"101,039","113,659","-12,620"
Oct-11,"100,416","114,484","-14,068"
Nov-11,"100,611","115,280","-14,669"
Dec-11,"100,206","116,350","-16,144"
Jan-12,"100,039","116,837","-16,798"
Feb-12,"100,184","117,444","-17,260"
Mar-12,"100,721","116,405","-15,684"
Apr-12,"100,063","115,895","-15,832"
May-12,"100,061","115,354","-15,293"
Jun-12,"100,734","115,717","-14,983"
Jul-12,"99,982","114,784","-14,802"
Aug-12,"99,791","114,469","-14,678"
Sep-12,"100,034","114,225","-14,191"
Oct-12,"100,554","113,258","-12,704"
Nov-12,"100,941","112,612","-11,671"
Dec-12,"101,762","112,170","-10,408"
Jan-13,"102,394","110,938","-8,544"
Feb-13,"101,971","109,389","-7,418"
Mar-13,"102,204","108,015","-5,811"
Apr-13,"103,317","106,621","-3,304"
May-13,"104,062","105,422","-1,360"
Jun-13,"104,368","103,559",809
Jul-13,"105,602","102,119","3,483"
Aug-13,"106,406","100,375","6,031"
Sep-13,"106,839","98,722","8,117"
Oct-13,"107,967","97,276","10,691"
Nov-13,"108,952","95,533","13,419"
Dec-13,"110,282","92,991","17,291"
Jan-14,"111,194","91,130","20,064"
